provinsi,jenis,daerah,tahun,periode,gk,Cluster
32,1,0,2016,0,-1.4069789502668104,1
32,1,0,2016,1,-1.3922597708988318,1
32,1,1,2015,0,-1.3357730232727483,1
32,1,1,2015,1,-1.318347740481447,1
32,1,1,2016,0,-1.3009287803616953,1
32,1,1,2016,1,-1.265717822500753,1
32,1,2,2017,0,-1.0648844833923004,1
32,1,2,2017,1,-1.061438627397649,1
32,1,2,2018,0,-1.0411491743942796,1
32,1,2,2018,1,-1.034813857501361,1
32,1,0,2017,0,-1.3755742406788591,1
32,1,0,2017,1,-1.373664793870814,1
32,1,0,2018,0,-1.3450989638087314,1
32,1,0,2018,1,-1.3151358233341388,1
32,1,1,2017,0,-1.2467624531943955,1
32,1,1,2017,1,-1.2426337486723638,1
32,1,1,2018,0,-1.2113302018292096,1
32,1,1,2018,1,-1.1853629897741027,1
32,1,2,2019,0,-1.014062849474855,1
32,1,2,2019,1,-0.9778782001952403,1
32,1,2,2020,0,-0.9655110546437943,1
32,1,2,2020,1,-0.9575444884910222,1
32,1,0,2019,0,-1.2783315522426422,1
32,1,0,2019,1,-1.235141382885828,1
32,1,0,2020,0,-1.2124872507228264,1
32,1,0,2020,1,-1.2054185039301286,1
32,1,1,2019,0,-1.154426157880838,1
32,1,1,2019,1,-1.114100158736092,1
32,1,1,2020,0,-1.0964851957982962,1
32,1,1,2020,1,-1.0850538056362233,1
32,1,2,2021,0,-0.9298954458036635,1
32,1,2,2021,1,-0.901677362676821,1
32,1,2,2022,0,-0.8513552198118111,1
32,1,2,2022,1,-0.7940212341980518,1
32,1,0,2021,0,-1.175562848871883,1
32,1,0,2021,1,-1.1530857515122763,1
32,1,0,2022,0,-1.1154152744184544,1
32,1,0,2022,1,-1.0480092730258332,1
32,1,1,2021,0,-1.054907307686686,1
32,1,1,2021,1,-1.028491185951542,1
32,1,1,2022,0,-0.985541278113621,1
32,1,1,2022,1,-0.9201648542884919,1
32,2,2,2013,0,0.1829326829937901,0
32,2,2,2013,1,0.3595312220517863,0
32,2,2,2014,0,0.44931315805921695,0
32,2,2,2014,1,0.5498056996720411,0
32,2,0,2013,0,-0.09919756690223602,0
32,2,0,2013,1,0.10968453308913628,0
32,2,0,2014,0,0.18719416361836816,0
32,2,0,2014,1,0.29033590461056646,0
32,2,2,2015,0,0.6476363965623915,0
32,2,2,2015,1,0.7551471035955147,0
32,2,2,2016,0,0.8701185630574245,2
32,2,2,2016,1,0.953268016609095,2
32,2,0,2015,0,0.41634042592691056,0
32,2,0,2015,1,0.5518036638817839,0
32,2,0,2016,0,0.6947719129662925,0
32,2,0,2016,1,0.76893685024567,0
32,2,1,2015,0,0.5081772301880324,0
32,2,1,2015,1,0.6325378569014235,0
32,2,1,2016,0,0.7665405577282887,0
32,2,1,2016,1,0.8483179915536484,2
32,2,2,2017,0,1.066696744212849,2
32,2,2,2017,1,1.0840904136464011,2
32,2,2,2018,0,1.2154565604369918,2
32,2,2,2018,1,1.2876298561781763,2
32,2,0,2017,0,0.8555574504781912,2
32,2,0,2017,1,0.8694357145300441,2
32,2,0,2018,0,0.9885169104993362,2
32,2,0,2018,1,1.027597343348768,2
32,2,1,2017,0,0.9465470167516373,2
32,2,1,2017,1,0.9603683767595418,2
32,2,1,2018,0,1.091608070119136,2
32,2,1,2018,1,1.1490052824483934,2
32,2,2,2019,0,1.4042894689438878,2
32,2,2,2019,1,1.5646197741041996,2
32,2,2,2020,0,1.635440018133723,2
32,2,2,2020,1,1.6541804166073866,2
32,2,0,2019,0,1.1383009995145499,2
32,2,0,2019,1,1.3059656036726517,2
32,2,0,2020,0,1.4158093765076583,2
32,2,0,2020,1,1.4274620601739747,2
32,2,1,2019,0,1.262939823776133,2
32,2,1,2019,1,1.4276327723058198,2
32,2,1,2020,0,1.5200386170064255,2
32,2,1,2020,1,1.5385324312896462,2
32,2,2,2021,0,1.751587494503899,2
32,2,2,2021,1,1.8234446566675926,2
32,2,2,2022,0,2.0148761831814643,2
32,2,2,2022,1,2.3061237254523297,2
32,2,0,2021,0,1.5950634376165784,2
32,2,0,2021,1,1.6585620279914113,2
32,2,0,2022,0,1.8621963105964336,2
32,2,0,2022,1,2.118359348437353,2
32,2,1,2021,0,1.6742359307634127,2
32,2,1,2021,1,1.742786335706551,2
32,2,1,2022,0,1.9412866090131202,2
32,2,1,2022,1,2.2147674442289937,2
26,0,2,2015,0,-0.14885582925451493,0
26,0,2,2015,1,-0.0945124672838201,0
26,0,2,2016,0,-0.07510186562587558,0
26,0,2,2016,1,-0.014758288354402467,0
26,0,0,2015,0,-0.009371372193956628,0
26,0,0,2015,1,0.09035612616133941,0
26,0,0,2016,0,0.14136111755372976,0
26,0,0,2016,1,0.1850634233060791,0
26,0,1,2015,0,-0.06356299004745579,0
26,0,1,2015,1,0.018530577355394887,0
26,0,1,2016,0,0.05341275629574664,0
26,0,1,2016,1,0.11290909557954401,0
26,0,2,2017,0,0.09022335005879321,0
26,0,2,2017,1,0.1490621315014094,0
26,0,2,2018,0,0.24355445781345525,0
26,0,2,2018,1,0.2914739854895339,0
26,0,0,2017,0,0.2674731242864208,0
26,0,0,2017,1,0.29755007284891005,0
26,0,0,2018,0,0.34003842566369413,0
26,0,0,2018,1,0.34595012356277494,0
26,0,1,2017,0,0.2024381247249819,0
26,0,1,2017,1,0.24306761210411917,0
26,0,1,2018,0,0.3031140238127508,0
26,0,1,2018,1,0.32566067055940556,0
26,0,2,2019,0,0.3618516425105699,0
26,0,2,2019,1,0.5029041221154833,0
26,0,2,2020,0,0.609460105744584,0
26,0,2,2020,1,0.6200063218896821,0
26,0,0,2019,0,0.40619886076100076,0
26,0,0,2019,1,0.4877423557390172,0
26,0,0,2020,0,0.5745526361180329,0
26,0,0,2020,1,0.5863823545877443,0
26,0,1,2019,0,0.38954494389877736,0
26,0,1,2019,1,0.49316720792876195,0
26,0,1,2020,0,0.5878745050735017,0
26,0,1,2020,1,0.5990719563882312,0
26,0,2,2021,0,0.7331378839305945,0
26,0,2,2021,1,0.8134105219270974,2
26,0,2,2022,0,0.9280215891106675,2
26,0,2,2022,1,1.1521539728802033,2
26,0,0,2021,0,0.6696582615704112,0
26,0,0,2021,1,0.7590292239271036,0
26,0,0,2022,0,0.834597794290541,2
26,0,0,2022,1,1.043283891463869,2
26,0,1,2021,0,0.6935263466709781,0
26,0,1,2021,1,0.7788381538926867,0
26,0,1,2022,0,0.8701944351160223,2
26,0,1,2022,1,1.0848933929332283,2
26,1,2,2015,0,-1.1346867773023028,1
26,1,2,2015,1,-1.1070503799580438,1
26,1,2,2016,0,-1.0722251050616403,1
26,1,2,2016,1,-1.049134708561701,1
26,1,0,2015,0,-1.3319794203428568,1
26,1,0,2015,1,-1.2981657728944245,1
26,1,0,2016,0,-1.2922856883530927,1
26,1,0,2016,1,-1.2842558954848224,1
26,1,1,2015,0,-1.2553233504728505,1
26,1,1,2015,1,-1.2239123182133493,1
26,1,1,2016,0,-1.2029273713395,1
26,1,1,2016,1,-1.1912367516438844,1
26,1,2,2017,0,-1.004231095214886,1
26,1,2,2017,1,-0.9911241970921113,1
